,tweet_text,Positive,Neutral,Negative,Key_Phrases,images,PercentageLikelihoodTrumpInImage
30,"RT @KOLDNews: President #Trump tweets photo of himself wearing #mask, calls it patriotic &gt;&gt; https://t.co/vpV68f9fKW https://t.co/vCtn2",0.01,0.94,0.05,"['gt', 'KOLDNews', 'President', 'Trump tweets photo', 'mask', 'RT']",http://pbs.twimg.com/media/EdZrsw-WkAEKysq.png,77.39%
31,"Patriot #Trump
143.637 #USA are gone. https://t.co/3W3c5vYOLI https://t.co/7K85gh6b7i",0.07,0.91,0.02,"['Patriot', 'Trump', 'USA']",http://pbs.twimg.com/media/EdZrUwhXkAA_byz.jpg,image doesn't exist or couldn't predict
32,"@44mmvvpp @realDonaldTrump #AmericaFirst is a tradition which #Trump, his cronies and his base want to perpetuate https://t.co/WnI6ObGASk",0.04,0.84,0.12,"['AmericaFirst', 'tradition', 'realDonaldTrump', 'cronies', 'mmvvpp', 'base']",http://pbs.twimg.com/media/EdZswzAXoAAvzqX.jpg,0.00%
33,American Disgrace #Trump #Trump2020 #TrumpThreatensAmerica #TrumpIsALaughingStock #TrumpVirus #MAGA2020 https://t.co/vsFZid834V,0.02,0.08,0.9,"['Trump2020', 'TrumpThreatensAmerica', 'TrumpIsALaughingStock', 'TrumpVirus', 'American Disgrace', 'MAGA2020']",http://pbs.twimg.com/media/EdZt1HhXYAAFBhb.jpg,38.96%
34,#Trump lovers are just plain BLIND followers... https://t.co/JHyNNBncFI,0.13,0.79,0.08,"['Trump lovers', 'BLIND followers']",http://pbs.twimg.com/media/EdZtm24WsAUcL7k.jpg,100.00%
35,Dems aren't gonna like this.... #WWG1GWA #Trump2020 #Trump https://t.co/HArR17J2Xa,0.03,0.3,0.67,"['WWG1GWA', 'Trump2020', 'Dems', 'gonna']",http://pbs.twimg.com/media/EdZuqAxXsAA03Dq.jpg,0.09%
36,"@GregStohr #scotus putting on the #ostrichparty for #trump
#TrumpThreatensAmerica 
#securityrisk https://t.co/FaBlB2gDGE",0.01,0.69,0.3,"['scotus', 'ostrichparty', 'GregStohr', 'TrumpThreatensAmerica', 'securityrisk']",http://pbs.twimg.com/media/EdZv0laX0AAgfa2.jpg,77.30%
37,"#Trump 
#aoc
@AOC is a monster. https://t.co/UHDWd359o3",0.01,0.14,0.85,"['aoc', 'monster', 'Trump']",http://pbs.twimg.com/media/EdZvkLgXYAED6ne.jpg,0.00%
38,CHECK THIS NEWS OUT: https://t.co/Exhlw8ns9g - found on #Trump White House https://t.co/wzdNiJb1Qr,0.02,0.95,0.03,"['Trump White House', 'NEWS']",http://pbs.twimg.com/media/EdZw01VXsAEhUL_.jpg,image doesn't exist or couldn't predict
39,"#TheBeat #FoxNews #CNN #MAGA #Trump 
.
Latest way to own the liberal viral infection

(not an endorsement????) https://t.co/Q2p1Osgad0",0.08,0.3,0.62,"['FoxNews', 'CNN', 'MAGA', 'liberal viral infection', 'Latest way', 'TheBeat', 'Trump', 'endorsement']",http://pbs.twimg.com/media/EdZwZ7EVAAA3yAc.jpg,0.00%
40,RT @mr_bluetown: Did #Trump call all those Oregonian moms “anarchist”? https://t.co/w3WMuMdk8m,0.05,0.89,0.06,"['Trump', 'Oregonian moms', 'mr', 'bluetown', 'RT', 'anarchist']",http://pbs.twimg.com/media/EdZx6mzWsAALiwW.jpg,0.00%
41,"@ejeancarroll #trump  a #superspreader responsible for #MeToo 
#trump #serialrapist in #WhiteRock #bunkerbabytrump https://t.co/0eHvhbIDT9",0.11,0.77,0.12,"['superspreader responsible', 'serialrapist', 'WhiteRock', 'ejeancarroll', 'MeToo', 'bunkerbabytrump']",http://pbs.twimg.com/media/EdZx7RHXoAEM1Ez.jpg,99.77%
42,"RT @jhon7401: The problem in today's world is that idiots can vote
#Trump https://t.co/lgvCmcqRxd",0.0,0.0,1.0,"['problem', 'jhon7401', ""today's world"", 'idiots', 'RT', 'Trump']",http://pbs.twimg.com/media/EdZxkWpWkAgB6rz.png,100.00%
43,@washingtonpost The madness won’t end until the year is etched in for #Trump. https://t.co/TLeODguhWI,0.0,0.03,0.97,"['year', 'madness', 'Trump']",http://pbs.twimg.com/media/EdZyVNnXgAMvRKw.jpg,0.00%
44,Who was that masked man?  And we didn’t even get a chance to thank him for finally wear a mask!#Trump @POTUS https://t.co/X52hY6GEWo,0.75,0.01,0.24,"['POTUS', 'Trump', 'masked man', 'chance']",http://pbs.twimg.com/media/EdZyzB7WoAAChES.jpg,99.95%
45,"RT @PhillyPartTwo: Who wore it better?
#Trump #mask https://t.co/Si4QOa2heh",0.02,0.96,0.02,"['PhillyPartTwo', 'Trump', 'mask']",http://pbs.twimg.com/media/EdZZkfrWoAUqMzl.png,98.21%
46,Fantastic!!! #covidiots #Trump #WearADamnMask https://t.co/SLPOSHNzRM,0.5,0.02,0.48,"['covidiots', 'Trump', 'WearADamnMask']",http://pbs.twimg.com/media/EdZzOEAXYAArwQb.jpg,0.00%
47,RT @thedopidix: The President Test Results #trump #COVIDー19 #dopidix https://t.co/zjUESZpubS,0.05,0.93,0.02,"['President Test Results', 'trump', 'COVIDー', 'thedopidix', 'RT']",http://pbs.twimg.com/media/EYBg0MjX0AIi9lZ.jpg,0.00%
48,So now #Trump is wearing a #facemask b/c it’s #Patriotic but not to stop the spread of #COVID19 https://t.co/0BsbMNjmNi,0.07,0.86,0.07,"['facemask b', 'spread', 'Trump', 'COVID19']",http://pbs.twimg.com/tweet_video_thumb/EdZ0ZjeXYAAqfX0.jpg,99.85%
49,@thomaskaine5 #Trump the #racist was allowed to steer the ship...#duh https://t.co/uDYXaVsSh7,0.0,0.0,1.0,"['racist', 'thomaskaine5', 'Trump', 'ship']",http://pbs.twimg.com/tweet_video_thumb/EdZ10GPUEAA4WDD.jpg,97.70%
50,"@POTUS is loosing so badly to @JoeBiden, #Trump has decided to start the press conferences again. #TrumpKillsUs https://t.co/qnlYbDBRpK",0.0,0.0,1.0,"['press conferences', 'JoeBiden', 'POTUS', 'TrumpKillsUs']",http://pbs.twimg.com/tweet_video_thumb/EdZ77zvWoAAjfNb.jpg,0.00%
51,"@SethAbramson #tRump just gave Congress a big moon

https://t.co/QbCmMy2RyK https://t.co/KjSRgu1KOm",0.04,0.71,0.25,"['Congress', 'tRump', 'big moon', 'SethAbramson']",http://pbs.twimg.com/tweet_video_thumb/EdZo-s_UcAAKx-z.jpg,0.00%
52,"RT @MaryKateClark: @B52Malmet And like that, #Trump loses two more votes. https://t.co/Rez1moI5Tg",0.02,0.02,0.96,"['B52Malmet', 'Trump', 'RT', 'MaryKateClark', 'votes']",http://pbs.twimg.com/tweet_video_thumb/EdZoghEXoAAlUfK.jpg,39.08%
53,"@_a13jandro_ @John92448833 Like #Trump said...those people just got the sniffles....
#coronavirus https://t.co/KeIjfeGZKP",0.11,0.7,0.19,"['Trump', 'people', 'a13jandro', 'John92448833', 'sniffles', 'coronavirus']",http://pbs.twimg.com/tweet_video_thumb/EdZoZacXgAEdGmh.jpg,0.00%
54,"@MalcolmNance Q: Who wore it better: #Trump #CobraCommander or #Bane?

A: #Oderus https://t.co/lYntlDTzjS",0.15,0.64,0.21,"['Bane', 'Trump', 'CobraCommander', 'MalcolmNance Q', 'Oderus']",http://pbs.twimg.com/tweet_video_thumb/EdZpoXmWsAQH1jh.jpg,0.00%
55,"@cnnbrk *Flanking ????

#Trump loves the MSM https://t.co/n1AJ3N6bMq",0.99,0.01,0.0,"['cnnbrk', 'Flanking', 'Trump', 'MSM']",http://pbs.twimg.com/tweet_video_thumb/EdZvDTnXgAgq8DS.jpg,0.00%
56,Newly scanned image of the #EpsteinBarr #Trump #DeutscheBank virus. https://t.co/QOSbB1KhIE,0.0,0.06,0.94,"['EpsteinBarr', 'Trump', 'DeutscheBank virus', 'scanned image']",http://pbs.twimg.com/tweet_video_thumb/EdZyykjUcAARY-L.jpg,0.00%
